,Rk,Tm,Year,Date,Time,LTime,Unnamed: 6,Opp,Week,G#,Day,Result,OT,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds.1,Rate
0,1,NOR,2015,2015-11-01,1:02,12:02,,NYG,8,8,Sun,W 52-49,,39,50,78.0,505,7,2,0,0,131.7
1,2,LAR,2019,2019-09-29,4:05,1:05,,TAM,4,4,Sun,L 40-55,,45,68,66.2,490,2,3,2,27,78.7
2,3,PIT,2017,2017-12-10,8:30,8:30,,BAL,14,13,Sun,W 39-38,,44,66,66.7,486,2,0,3,20,98.4
3,4,ATL,2016,2016-10-02,1:04,1:04,,CAR,4,4,Sun,W 48-33,,28,37,75.7,481,4,1,3,22,142.0
4,5,TAM,2019,2019-12-08,1:00,1:00,,IND,14,13,Sun,W 38-35,,35,49,71.4,467,4,3,1,7,103.0
5,6,PHI,2018,2018-12-23,1:00,1:00,,HOU,16,15,Sun,W 32-30,,35,50,70.0,462,4,1,1,9,117.2
6,7,NOR,2016,2016-10-16,1:03,12:03,,CAR,6,5,Sun,W 41-38,,34,49,69.4,460,4,1,1,5,117.7
7,8,LAR,2018,2018-09-27,8:20,5:20,,MIN,4,4,Thu,W 38-31,,26,34,76.5,456,5,0,1,9,157.5
8,9,SEA,2017,2017-10-29,4:05,1:05,,HOU,8,7,Sun,W 41-38,,26,41,63.4,446,4,1,2,6,122.6
9,10,PIT,2018,2018-09-16,1:00,1:00,,KAN,2,2,Sun,L 37-42,,39,60,65.0,442,3,0,1,10,103.6
10,11,ATL,2019,2019-10-27,1:00,1:00,,SEA,8,8,Sun,L 20-27,,39,52,75.0,441,1,1,2,19,98.3
11,12,DAL,2019,2019-10-06,4:25,3:25,,GNB,5,5,Sun,L 24-34,,27,44,61.4,441,2,3,3,22,81.7
12,13,NYG,2015,2015-10-11,8:31,8:31,,SFO,5,5,Sun,W 30-27,,41,54,75.9,441,3,1,0,0,110.2
13,14,IND,2018,2018-09-30,1:00,1:00,,HOU,4,4,Sun,L 34-37,OT,40,62,64.5,437,4,0,4,27,106.7
14,15,DAL,2018,2018-12-09,4:25,3:25,,PHI,14,13,Sun,W 29-23,OT,42,54,77.8,434,3,2,3,21,103.2
15,16,NOR,2018,2018-09-09,1:00,12:00,,TAM,1,1,Sun,L 40-48,,37,45,82.2,432,3,0,1,7,128.9
16,17,NYG,2017,2017-12-17,1:00,1:00,,PHI,15,14,Sun,L 29-34,,37,57,64.9,429,3,1,1,5,97.8
17,18,HOU,2019,2019-10-06,1:00,12:00,,ATL,5,5,Sun,W 53-32,,28,33,84.8,426,5,0,0,0,158.3
18,19,OAK,2018,2018-09-30,4:05,1:05,,CLE,4,4,Sun,W 45-42,OT,35,58,60.3,426,4,2,3,11,91.6
19,20,GNB,2019,2019-10-20,1:00,12:00,,OAK,7,7,Sun,W 42-24,,25,31,80.6,421,5,0,1,8,158.3
21,21,NOR,2016,2016-09-11,1:05,12:05,,OAK,1,1,Sun,L 34-35,,28,42,66.7,419,4,0,1,4,131.0
22,22,LAC,2018,2018-09-09,4:05,1:05,,KAN,1,1,Sun,L 28-38,,34,51,66.7,418,3,1,1,6,103.2
23,23,OAK,2017,2017-10-19,8:25,5:25,,KAN,7,7,Thu,W 31-30,,29,52,55.8,417,3,0,0,0,101.2
24,24,GNB,2019,2019-09-26,8:20,7:20,,PHI,4,4,Thu,L 27-34,,34,53,64.2,414,2,1,1,8,92.8
25,25,DAL,2015,2016-01-03,1:03,12:03,,WAS,17,16,Sun,L 23-34,,33,48,68.8,412,3,2,4,23,98.6
26,26,DET,2017,2017-10-29,8:30,8:30,,PIT,8,7,Sun,L 15-20,,27,45,60.0,411,0,0,2,12,90.1
27,27,SFO,2019,2019-11-17,4:05,1:05,,ARI,11,10,Sun,W 36-26,,34,45,75.6,408,4,2,2,16,113.9
28,28,MIA,2019,2019-12-22,1:00,1:00,,CIN,16,15,Sun,W 38-35,OT,31,52,59.6,406,4,1,2,13,101.9
29,29,SEA,2019,2019-09-22,4:25,1:25,,NOR,3,3,Sun,L 27-33,,32,50,64.0,406,2,0,0,0,102.6
30,30,DAL,2019,2019-09-08,4:25,3:25,,NYG,1,1,Sun,W 35-17,,25,32,78.1,405,4,0,0,0,158.3
31,31,GNB,2018,2018-10-15,8:15,7:15,,SFO,6,6,Mon,W 33-30,,25,46,54.3,405,2,0,3,20,98.6
32,32,ATL,2018,2018-09-30,1:00,1:00,,CIN,4,4,Sun,L 36-37,,29,39,74.4,403,3,0,3,16,132.7
33,33,NOR,2015,2015-12-27,4:05,3:05,,JAX,16,15,Sun,W 38-27,,25,36,69.4,402,3,0,1,10,134.3
34,34,PIT,2015,2015-11-08,1:02,1:02,,OAK,9,9,Sun,W 38-35,,28,50,56.0,402,2,1,1,11,87.2
35,35,NWE,2016,2016-12-12,8:30,8:30,,BAL,14,13,Mon,W 30-23,,25,38,65.8,401,3,1,1,5,116.2
36,36,PIT,2016,2016-11-13,4:25,4:25,,DAL,10,9,Sun,L 30-35,,37,46,80.4,400,3,0,1,8,124.6
37,37,PIT,2015,2015-11-15,1:04,1:04,,CLE,10,10,Sun,W 30-9,,25,37,67.6,399,3,1,1,3,119.1
38,38,TAM,2018,2018-11-11,1:00,1:00,,WAS,10,9,Sun,L 3-16,,29,41,70.7,398,0,2,2,8,81.1
39,39,NYG,2016,2016-10-16,1:02,1:02,,BAL,6,6,Sun,W 27-23,,32,46,69.6,397,3,2,1,6,99.6
40,40,ATL,2015,2015-11-01,1:02,1:02,,TAM,8,8,Sun,L 20-23,OT,37,45,82.2,395,2,1,1,2,108.8
42,41,DAL,2019,2019-11-10,8:20,7:20,,MIN,10,9,Sun,L 24-28,,28,47,59.6,393,3,1,1,4,99.0
43,42,SFO,2016,2016-11-06,4:05,1:05,,NOR,9,8,Sun,L 23-41,,24,39,61.5,393,2,1,1,5,101.8
44,43,TAM,2018,2018-09-16,1:00,1:00,,PHI,2,2,Sun,W 27-21,,27,33,81.8,393,4,1,2,9,143.2
45,44,TAM,2018,2018-09-24,8:15,8:15,,PIT,3,3,Mon,L 27-30,,30,50,60.0,392,3,3,3,19,79.7
46,45,DET,2015,2015-10-18,1:02,1:02,,CHI,6,6,Sun,W 37-34,OT,27,42,64.3,391,4,1,2,14,116.3
47,46,TAM,2016,2016-09-25,4:05,4:05,,LAR,3,3,Sun,L 32-37,,36,58,62.1,389,3,1,2,16,91.8
48,47,SDG,2015,2015-09-13,4:05,1:05,,DET,1,1,Sun,W 33-28,,34,41,82.9,387,2,2,2,16,101.9
49,48,BAL,2016,2016-12-04,1:00,1:00,,MIA,13,12,Sun,W 38-6,,37,50,74.0,386,4,1,0,0,114.2
50,49,LAC,2018,2018-11-18,4:05,1:05,,DEN,11,10,Sun,L 22-23,,28,43,65.1,384,2,2,3,17,89.7
