,Rk,Tm,Year,Date,Time,LTime,Unnamed: 6,Opp,Week,G#,Day,Result,OT,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds.1,Rate
0,1,PIT,2014,2014-10-26,4:25,4:25,,IND,8,8,Sun,W 51-34,,40,49,81.6,522,6,0,0,0,150.6
1,2,NYG,2012,2012-09-16,1:03,1:03,,TAM,2,2,Sun,W 41-34,,31,51,60.8,510,3,3,0,0,89.5
2,3,NOR,2015,2015-11-01,1:02,12:02,,NYG,8,8,Sun,W 52-49,,39,50,78.0,505,7,2,0,0,131.7
3,4,HOU,2012,2012-11-18,1:03,12:03,,JAX,11,10,Sun,W 43-37,OT,43,55,78.2,504,5,2,2,23,120.0
4,5,LAR,2019,2019-09-29,4:05,1:05,,TAM,4,4,Sun,L 40-55,,45,68,66.2,490,2,3,2,27,78.7
5,6,PIT,2017,2017-12-10,8:30,8:30,,BAL,14,13,Sun,W 39-38,,44,66,66.7,486,2,0,3,20,98.4
6,7,ATL,2016,2016-10-02,1:04,1:04,,CAR,4,4,Sun,W 48-33,,28,37,75.7,481,4,1,3,22,142.0
7,8,DET,2013,2013-10-27,1:03,1:03,,DAL,8,8,Sun,W 31-30,,33,48,68.8,480,1,2,1,8,90.6
8,9,DEN,2014,2014-10-05,4:05,2:05,,ARI,5,4,Sun,W 41-20,,31,47,66.0,476,4,2,1,3,109.9
9,10,DEN,2010,2010-09-26,4:16,2:16,,IND,3,3,Sun,L 13-27,,37,57,64.9,472,1,1,1,4,89.2
10,11,PIT,2009,2009-12-20,4:15,4:15,,GNB,15,14,Sun,W 37-36,,29,46,63.0,472,3,0,5,31,119.1
11,12,DAL,2013,2013-10-06,4:25,3:25,,DEN,5,5,Sun,L 48-51,,25,36,69.4,470,5,1,4,36,140.0
12,13,GNB,2011,2012-01-01,1:02,12:02,,DET,17,16,Sun,W 45-41,,31,44,70.5,469,6,1,3,11,135.3
13,14,TAM,2019,2019-12-08,1:00,1:00,,IND,14,13,Sun,W 38-35,,35,49,71.4,467,4,3,1,7,103.0
14,15,PHI,2018,2018-12-23,1:00,1:00,,HOU,16,15,Sun,W 32-30,,35,50,70.0,462,4,1,1,9,117.2
15,16,NOR,2016,2016-10-16,1:03,12:03,,CAR,6,5,Sun,W 41-38,,34,49,69.4,460,4,1,1,5,117.7
16,17,LAR,2018,2018-09-27,8:20,5:20,,MIN,4,4,Thu,W 38-31,,26,34,76.5,456,5,0,1,9,157.5
17,18,SEA,2017,2017-10-29,4:05,1:05,,HOU,8,7,Sun,W 41-38,,26,41,63.4,446,4,1,2,6,122.6
18,19,ATL,2014,2014-09-07,1:03,1:03,,NOR,1,1,Sun,W 37-34,OT,31,43,72.1,445,3,0,1,3,128.5
19,20,DEN,2013,2013-09-05,9:13,7:13,,BAL,1,1,Thu,W 49-27,,27,42,64.3,445,7,0,3,17,139.4
21,21,DET,2012,2012-12-22,8:40,8:40,,ATL,16,15,Sat,L 18-31,,37,56,66.1,443,0,1,0,0,82.7
22,22,PIT,2018,2018-09-16,1:00,1:00,,KAN,2,2,Sun,L 37-42,,39,60,65.0,442,3,0,1,10,103.6
23,23,ATL,2019,2019-10-27,1:00,1:00,,SEA,8,8,Sun,L 20-27,,39,52,75.0,441,1,1,2,19,98.3
24,24,DAL,2019,2019-10-06,4:25,3:25,,GNB,5,5,Sun,L 24-34,,27,44,61.4,441,2,3,3,22,81.7
25,25,GNB,2013,2013-09-15,1:02,12:02,,WAS,2,2,Sun,W 38-20,,34,42,81.0,441,4,0,4,39,142.2
26,26,NYG,2015,2015-10-11,8:31,8:31,,SFO,5,5,Sun,W 30-27,,41,54,75.9,441,3,1,0,0,110.2
27,27,IND,2018,2018-09-30,1:00,1:00,,HOU,4,4,Sun,L 34-37,OT,40,62,64.5,437,4,0,4,27,106.7
28,28,PIT,2014,2014-11-30,1:02,1:02,,NOR,13,12,Sun,L 32-35,,32,58,55.2,435,2,2,1,0,76.4
29,29,DAL,2018,2018-12-09,4:25,3:25,,PHI,14,13,Sun,W 29-23,OT,42,54,77.8,434,3,2,3,21,103.2
30,30,NOR,2018,2018-09-09,1:00,12:00,,TAM,1,1,Sun,L 40-48,,37,45,82.2,432,3,0,1,7,128.9
31,31,NYG,2014,2014-12-28,1:02,1:02,,PHI,17,16,Sun,L 26-34,,28,53,52.8,429,1,1,0,0,78.3
32,32,NYG,2017,2017-12-17,1:00,1:00,,PHI,15,14,Sun,L 29-34,,37,57,64.9,429,3,1,1,5,97.8
33,33,DEN,2009,2010-01-03,4:15,2:15,,KAN,17,16,Sun,L 24-44,,32,56,57.1,428,1,3,2,3,65.2
34,34,MIN,2010,2010-11-07,1:05,12:05,,ARI,9,8,Sun,W 27-24,OT,36,47,76.6,427,2,2,3,19,100.2
35,35,HOU,2019,2019-10-06,1:00,12:00,,ATL,5,5,Sun,W 53-32,,28,33,84.8,426,5,0,0,0,158.3
36,36,NWE,2009,2009-10-18,4:15,4:15,,TEN,6,6,Sun,W 59-0,,38,45,84.4,426,6,0,2,6,145.7
37,37,OAK,2018,2018-09-30,4:05,1:05,,CLE,4,4,Sun,W 45-42,OT,35,58,60.3,426,4,2,3,11,91.6
38,38,NWE,2012,2012-12-16,8:30,8:30,,SFO,15,14,Sun,L 34-41,,36,65,55.4,425,1,2,3,18,67.8
39,39,DAL,2012,2012-11-22,4:41,3:41,,WAS,12,11,Thu,L 31-38,,37,62,59.7,423,3,2,2,18,82.9
40,40,GNB,2019,2019-10-20,1:00,12:00,,OAK,7,7,Sun,W 42-24,,25,31,80.6,421,5,0,1,8,158.3
42,41,SDG,2009,2009-09-20,4:15,1:15,,BAL,2,2,Sun,L 26-31,,25,45,55.6,421,2,2,2,15,83.7
43,42,IND,2012,2012-11-04,1:02,1:02,,MIA,9,8,Sun,W 23-20,,30,48,62.5,419,2,0,1,14,104.4
44,43,DET,2012,2012-11-22,12:39,12:39,,HOU,12,11,Thu,L 31-34,OT,31,61,50.8,419,2,0,3,22,84.0
45,44,NOR,2016,2016-09-11,1:05,12:05,,OAK,1,1,Sun,L 34-35,,28,42,66.7,419,4,0,1,4,131.0
46,45,LAC,2018,2018-09-09,4:05,1:05,,KAN,1,1,Sun,L 28-38,,34,51,66.7,418,3,1,1,6,103.2
47,46,OAK,2011,2012-01-01,4:15,1:15,,SDG,17,16,Sun,L 26-38,,28,43,65.1,417,2,1,0,0,102.6
48,47,OAK,2017,2017-10-19,8:25,5:25,,KAN,7,7,Thu,W 31-30,,29,52,55.8,417,3,0,0,0,101.2
49,48,DET,2009,2009-11-22,1:02,1:02,,CLE,11,10,Sun,W 38-37,,26,43,60.5,416,5,2,2,6,112.2
50,49,DAL,2012,2012-10-28,4:25,3:25,,NYG,8,7,Sun,L 24-29,,36,62,58.1,415,1,4,4,22,56.9
51,50,GNB,2019,2019-09-26,8:20,7:20,,PHI,4,4,Thu,L 27-34,,34,53,64.2,414,2,1,1,8,92.8
52,51,NWE,2013,2013-11-03,4:25,4:25,,PIT,9,9,Sun,W 55-31,,23,33,69.7,413,4,0,3,19,151.8
53,52,DAL,2015,2016-01-03,1:03,12:03,,WAS,17,16,Sun,L 23-34,,33,48,68.8,412,3,2,4,23,98.6
54,53,DET,2017,2017-10-29,8:30,8:30,,PIT,8,7,Sun,L 15-20,,27,45,60.0,411,0,0,2,12,90.1
55,54,PHI,2013,2013-09-15,1:02,1:02,,SDG,2,2,Sun,L 30-33,,23,37,62.2,411,2,0,2,17,118.2
56,55,TAM,2012,2012-10-21,1:02,1:02,,NOR,7,6,Sun,L 28-35,,24,42,57.1,411,3,0,2,9,114.3
57,56,NWE,2011,2011-09-18,4:15,4:15,,SDG,2,2,Sun,W 35-21,,31,40,77.5,410,3,0,2,13,134.4
